case_number,date_of_occurrence,primary_description,latitude,longitude
JD365439,09/13/2020 12:17:00 AM,HOMICIDE,41.783104769,-87.612090172
JE119595,01/21/2021 10:28:00 PM,HOMICIDE,41.783234302,-87.610867758
JE136378,02/08/2021 08:30:00 PM,HOMICIDE,41.781534778,-87.605955453000007
JE115131,01/17/2021 08:36:00 AM,HOMICIDE,41.777558327,-87.615558249
JE155328,03/01/2021 02:54:00 AM,HOMICIDE,41.781874364,-87.587864899
JE168486,03/14/2021 04:55:00 AM,HOMICIDE,41.771889629,-87.613964461
JE168486,03/14/2021 04:55:00 AM,HOMICIDE,41.771889629,-87.613964461
JE231076,05/15/2021 02:44:00 PM,HOMICIDE,41.775070039,-87.594044066
JD304982,07/21/2020 01:33:00 PM,HOMICIDE,41.776227084,-87.604618626
JE251377,06/02/2021 05:06:00 PM,HOMICIDE,41.779404922,-87.61200331
JE252857,06/03/2021 11:03:00 PM,HOMICIDE,41.77268594,-87.605758495
JB206060,06/19/2020 03:57:00 AM,HOMICIDE,41.774531367,-87.603362034
JD268199,06/18/2020 04:08:00 PM,HOMICIDE,41.775815434,-87.615515359
JD268650,06/19/2020 12:10:00 AM,HOMICIDE,41.779013043,-87.615597022
JD295463,07/13/2020 02:02:00 AM,HOMICIDE,41.772339842,-87.611800196
JD346950,08/27/2020 12:44:00 PM,HOMICIDE,41.783315787,-87.607251618
